kjønn,næring (SN2007),type sykefravær,statistikkvariabel,kvartal,value
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2000K2,6.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2000K3,5.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2000K4,6.9
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2001K1,7.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2001K2,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2001K3,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2001K4,7.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2002K1,7.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2002K2,7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2002K3,6.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2002K4,7.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2003K1,8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2003K2,7.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2003K3,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2003K4,8.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2004K1,8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2004K2,6.9
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2004K3,5.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2004K4,6.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2005K1,6.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2005K2,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2005K3,5.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2005K4,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2006K1,7.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2006K2,6.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2006K3,5.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2006K4,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2007K1,7.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2007K2,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2007K3,5.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2007K4,6.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2008K1,7.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2008K2,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2008K3,5.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2008K4,6.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2009K1,7.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2009K2,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2009K3,6.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2009K4,7.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2010K1,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2010K2,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2010K3,5.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2010K4,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2011K1,7.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2011K2,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2011K3,5.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2011K4,6.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2012K1,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2012K2,5.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2012K3,5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2012K4,6.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2013K1,6.9
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2013K2,5.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2013K3,4.9
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2013K4,6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2014K1,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2014K2,5.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2014K3,5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2014K4,6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2015K1,6.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2015K2,5.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2015K3,4.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2015K4,5.9
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2016K1,6.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2016K2,5.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2016K3,4.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2016K4,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2017K1,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2017K2,5.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2017K3,4.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2017K4,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2018K1,6.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2018K2,5.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2018K3,4.7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2018K4,5.9
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2019K1,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2019K2,5.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2019K3,4.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2019K4,6.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2020K1,7.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2020K2,5.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2020K3,5.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2020K4,6.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2021K1,6.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2021K2,6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2021K3,5.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2021K4,7
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2022K1,8.2
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2022K2,6.3
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2022K3,5.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2022K4,7.1
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2023K1,7.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2023K2,6.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2023K3,5.6
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2023K4,7.5
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2024K1,7.4
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2024K2,6.8
Begge kjønn,Alle næringer,Egenmeldt og legemeldt,Sykefraværsprosent,2024K3,5.9
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2000K2,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2000K3,0.5
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2000K4,0.8
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2001K1,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2001K2,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2001K3,0.5
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2001K4,0.8
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2002K1,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2002K2,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2002K3,0.5
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2002K4,0.9
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2003K1,0.9
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2003K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2003K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2003K4,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2004K1,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2004K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2004K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2004K4,0.9
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2005K1,1.2
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2005K2,0.8
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2005K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2005K4,0.9
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2006K1,1.2
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2006K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2006K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2006K4,0.9
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2007K1,1.2
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2007K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2007K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2007K4,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2008K1,1.2
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2008K2,0.8
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2008K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2008K4,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2009K1,1.2
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2009K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2009K3,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2009K4,1.1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2010K1,1.1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2010K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2010K3,0.6
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2010K4,1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2011K1,1.1
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2011K2,0.7
Begge kjønn,Alle næringer,Egenmeldt,Sykefraværsprosent,2011K3,0.6
