kjønn,alder,type justering,statistikkvariabel,måned,value
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M01,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M02,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M03,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M04,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M05,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M06,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M07,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M08,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M09,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M10,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M11,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M12,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M01,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M02,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M03,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M04,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M05,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M06,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M07,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M08,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M09,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M10,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M11,NA
